Year,AvgLateAircraftDelayPercentage
2010,40.00633938555262
2003,37.924225963706164
2005,48.79378436045741
2009,33.585314999939314
2006,46.19716000254418
2004,31.662176952308105
2008,36.27105412962414
2007,44.70722271122738
