Year,AvgNASDelayPercentage
2010,32.78782409448953
2003,29.686276314267346
2005,16.404340334664653
2009,37.63093330628511
2006,17.87110257199335
2004,18.24570061769958
2008,29.39205060989154
2007,30.25693885868961
