Year,AvgCarrierDelayPercentage
2010,21.19140045823138
2003,24.557549755575373
2005,27.625131634388755
2009,28.33058554239575
2006,30.03612781935708
2004,43.64459443230066
2008,28.142868024452675
2007,19.610850306911388
